Text,agg_Label,Cluster,Predicted Sentiment,Real Sentiment
aw torn ace hearts hunchback,0,Cluster 1,Negative,Neutral
fun speaking,0,Cluster 1,Negative,Positive
haha yes,0,Cluster 1,Negative,Positive
give easily,0,Cluster 1,Negative,Positive
better way spoil mum let kick back relax nice meal bottle favorite wine wine red,0,Cluster 1,Negative,Positive
mannnn got iphone im jealous httpbitlyngnar,0,Cluster 1,Negative,Neutral
photoshoot,0,Cluster 1,Negative,Neutral
hes awesome worked hes good friend,0,Cluster 1,Negative,Positive
chilliin,0,Cluster 1,Negative,Neutral
know agent let know,0,Cluster 1,Negative,Neutral
still smell smoke kitchenfire,0,Cluster 1,Negative,Neutral
celticslakers rematch sounds better dont think lol,0,Cluster 1,Negative,Positive
anyone extra keane ticket promise buy drink take rad pics fb blog flickr etc,0,Cluster 1,Negative,Neutral
ride one catch one summer til pop open one,0,Cluster 1,Negative,Neutral
good gorjuz yea kno asked yesterday tha hospital talked u said,0,Cluster 1,Negative,Neutral
ok im popped say hi check things ill probably head guttah later tonight,0,Cluster 1,Negative,Neutral
wow really missin family today baddd,0,Cluster 1,Negative,Neutral
sources say,0,Cluster 1,Negative,Neutral
sooo tired,0,Cluster 1,Negative,Negative
hey change twitter account didnt even tell,0,Cluster 1,Negative,Neutral
thank yyyyyyyyyoooooooooouuuuu,0,Cluster 1,Negative,Positive
fell asleep waiting ride,0,Cluster 1,Negative,Neutral
sick flu like thing,0,Cluster 1,Negative,Negative
still reply simfinger problem irape parody video get response sorry guys,0,Cluster 1,Negative,Neutral
happy star wars day everyone enjoy holiday uk,0,Cluster 1,Negative,Positive
miles im essex give plenty warning arrive time get least one free beers,0,Cluster 1,Negative,Neutral
snoring annoying n keeps sleeping like right lol honestly wud miss eva left love,0,Cluster 1,Negative,Positive
miss bby wish going tomorrow make good,0,Cluster 1,Negative,Positive
well im working isnt quite ready post publicly still beta testing cool new script coded,0,Cluster 1,Negative,Neutral
sweeeeet san fran awesome love,0,Cluster 1,Negative,Positive
mounce yes lasts way past bedtime,0,Cluster 1,Negative,Neutral
hi joined twitter,0,Cluster 1,Negative,Neutral
eating ice cream getting ready graduation,0,Cluster 1,Negative,Neutral
caseys gone piddled little carpet shes prolly freaked cause new get back,0,Cluster 1,Negative,Neutral
hemp cloth marvelous unfortunately,0,Cluster 1,Negative,Positive
saw none baddies best,0,Cluster 1,Negative,Negative
im beach pretty,0,Cluster 1,Negative,Positive
certainly cheers huh,0,Cluster 1,Negative,Positive
week post myhorrible traumatic jumping cholla accidentchollas next dirty trickpieces starting emerge hand ouch,0,Cluster 1,Negative,Neutral
realy wanted go cause nice everybodys busy,0,Cluster 1,Negative,Neutral
awesome im ocean beach know way yourbiggestfan im real big fan,0,Cluster 1,Negative,Neutral
least get watch time lets go pens,0,Cluster 1,Negative,Neutral
cool wear black time go,0,Cluster 1,Negative,Neutral
haha know work blip apart obvious thanks reblipping song nice day,0,Cluster 1,Negative,Positive
safe trip joshy pooyoull knock dead speech,0,Cluster 1,Negative,Positive
woof wish allowed go,0,Cluster 1,Negative,Neutral
u friendster add email adress add lococrimestcom add leave comment,0,Cluster 1,Negative,Neutral
tickets,0,Cluster 1,Negative,Neutral
thank afrin nasal spray also got giant teacup tonight,0,Cluster 1,Negative,Neutral
acsm unfathomable think one one kept comfort bedrooms yes,0,Cluster 1,Negative,Neutral
aww love daddy works days week almost day still tries go sf us,0,Cluster 1,Negative,Neutral
many tests todayyy dont feel confident anyy,0,Cluster 1,Negative,Neutral
graduation done im little sad anyone want hang,0,Cluster 1,Negative,Neutral
hahaa awesomee,0,Cluster 1,Negative,Neutral
holy smokes star trek freaking awesomeeeee,0,Cluster 1,Negative,Neutral
hate fallout keeps making jump im also low health money ammo food dont worry ill get,0,Cluster 1,Negative,Neutral
itunes lost songs,0,Cluster 1,Negative,Negative
whats gloomy weather sun must tired come play heading victoria gardens impulse buys haha,0,Cluster 1,Negative,Neutral
looking forward next week maths geography english french exams totalling hours,0,Cluster 1,Negative,Neutral
poor get outside sleep garden sun good dont forget suncream,0,Cluster 1,Negative,Positive
well,0,Cluster 1,Negative,Positive
prob hun,0,Cluster 1,Negative,Neutral
dads watching mtv going sims minutee,0,Cluster 1,Negative,Neutral
absolutely,0,Cluster 1,Negative,Neutral
whats matter chickadee,0,Cluster 1,Negative,Neutral
hey mia totally adore music cd,0,Cluster 1,Negative,Positive
shopping cleaning bmfing webcam chatting nephews nothing spesh good bank holiday monday nonetheless,0,Cluster 1,Negative,Neutral
need ask something lmao love,0,Cluster 1,Negative,Positive
splinters look painfulbut heroic saving mr pickle,0,Cluster 1,Negative,Neutral
sad,0,Cluster 1,Negative,Negative
nice see tweeting sunday th may celebrating mothers day today nice yer mom,0,Cluster 1,Negative,Neutral
decided trans frm relaxed natural hair wish whole head looked like roots age instant gratification,0,Cluster 1,Negative,Positive
namaskar namaste r marathi people say namaskar marathi word naaaah,0,Cluster 1,Negative,Neutral
congrats cuss like matter minutes didnt know reward,0,Cluster 1,Negative,Positive
humous doritos oh yes,0,Cluster 1,Negative,Neutral
missed awesome weather movie,0,Cluster 1,Negative,Positive
today going normal day hope group pilots large airline come last night much drink,0,Cluster 1,Negative,Neutral
kids terrible good evans id call childline,0,Cluster 1,Negative,Positive
unfortunatley aerlingus longer fly copenhagen fly ryanair billund drive copenhagen one days,0,Cluster 1,Negative,Neutral
whats sad actually google term sucks tho,0,Cluster 1,Negative,Negative
hate fighting,0,Cluster 1,Negative,Negative
watched didnt want win put good fightlol,0,Cluster 1,Negative,Positive
carwarmed sprite tastes like sore throat,0,Cluster 1,Negative,Positive
came th cross country beat dumbo,0,Cluster 1,Negative,Neutral
candle wax enjoyable,0,Cluster 1,Negative,Positive
shes unassuming unpretentious shes suppose thats shes endearingbecause relate,0,Cluster 1,Negative,Neutral
tomorrow valerias lunch going get hair done im arraving late got cousins babtizm whatever spell,0,Cluster 1,Negative,Neutral
goooooddd morning tweets week three workout mention got new glasses yesterday,0,Cluster 1,Negative,Neutral
hate computer much,0,Cluster 1,Negative,Negative
fine going big walk today miles,0,Cluster 1,Negative,Neutral
want red cruisers dont like ones lmfao,0,Cluster 1,Negative,Positive
mmmmmmmm morning,0,Cluster 1,Negative,Neutral
neither,0,Cluster 1,Negative,Neutral
hours work sunday boo find time two hour lunchbreak though yeah,0,Cluster 1,Negative,Neutral
bugger forgot still washing machine,0,Cluster 1,Negative,Neutral
laurie sending love blessings healing thoughts family peace,0,Cluster 1,Negative,Positive
back hurtsreally bad,0,Cluster 1,Negative,Negative
ah yes know feeling,0,Cluster 1,Negative,Positive
night cookers dad,0,Cluster 1,Negative,Neutral
modem offline week god bless g network tim left may schedule brutal,0,Cluster 1,Negative,Positive
nope coquitlam,0,Cluster 1,Negative,Neutral
parent teacher thing yesterday boring going skl saturday lol,0,Cluster 1,Negative,Neutral
lichfield tweetup sounds like fun hope see everyone else,0,Cluster 1,Negative,Positive
big booming thunder storm almost maybe go home early ah probably,0,Cluster 1,Negative,Neutral
bevvies day twngreat day,0,Cluster 1,Negative,Neutral
first night myers wout lydia im actually excited summer,0,Cluster 1,Negative,Neutral
good morning,0,Cluster 1,Negative,Positive
best show ever,0,Cluster 1,Negative,Positive
url previous post timer job httpbitlyafdb id removed space messed url es,0,Cluster 1,Negative,Neutral
think iv hurt tooth eilish cassie drawing competiton draw cookies pineapples haha l,0,Cluster 1,Negative,Neutral
want know auditions mander text orreply please,0,Cluster 1,Negative,Neutral
even nooooo secret namerebecca please,0,Cluster 1,Negative,Neutral
miss neice cant wait see bad n grown lol,0,Cluster 1,Negative,Positive
need get computer fixed,0,Cluster 1,Negative,Neutral
really hopes cars illness terminal,0,Cluster 1,Negative,Positive
cool people want find following today english guess english dont tweet,0,Cluster 1,Negative,Neutral
siri woulda put honeybut dont,0,Cluster 1,Negative,Neutral
watched xmen origins wolverine totally loved haha,0,Cluster 1,Negative,Positive
voted u personal myspace keep talking fakes u helped thru hrdest time life x,0,Cluster 1,Negative,Neutral
im sad missed guys last night,0,Cluster 1,Negative,Negative
finally got call marriage counseling days late,0,Cluster 1,Negative,Neutral
ok,0,Cluster 1,Negative,Positive
baby,0,Cluster 1,Negative,Neutral
today last day high school ended going home sick stupid dead rats,0,Cluster 1,Negative,Negative
impromptu pool party except dont know swim cant get,0,Cluster 1,Negative,Neutral
lost tooth day whilst eating gumoww,0,Cluster 1,Negative,Neutral
happy year,0,Cluster 1,Negative,Positive
oh hella forgot say official good morning like hear go goooooooooooood morrrrrrrrning twitterville lol,0,Cluster 1,Negative,Neutral
phew make note case anyone else runs issue,0,Cluster 1,Negative,Neutral
vote every day,0,Cluster 1,Negative,Neutral
im starving diet killing cant eat pm,0,Cluster 1,Negative,Negative
talk,0,Cluster 1,Negative,Neutral
im soo boredim deffo missing music channels,0,Cluster 1,Negative,Neutral
nite nite bday girl fun concert,0,Cluster 1,Negative,Neutral
nicotine replacement patch hours far good sleep hours getting bit twitchy,0,Cluster 1,Negative,Neutral
sanderson whats twatter lately either cant get replies dont turn,0,Cluster 1,Negative,Neutral
sleeping lost voice couple day ago,0,Cluster 1,Negative,Neutral
httptwitpiccomxlm hate parked car gets hit,0,Cluster 1,Negative,Neutral
ive heard fall im waiting,0,Cluster 1,Negative,Neutral
nightmares huggles,0,Cluster 1,Negative,Neutral
creeper feel disappointed cyberstalking skills internet privacy,0,Cluster 1,Negative,Neutral
going bed late headache,0,Cluster 1,Negative,Neutral
grabbing coffee making mom breakfast,0,Cluster 1,Negative,Neutral
im thinking im going fun tonightand maybe changes coming,0,Cluster 1,Negative,Neutral
thanks major chop,0,Cluster 1,Negative,Positive
haha know cant handle fame thank,0,Cluster 1,Negative,Positive
got updated ipod,0,Cluster 1,Negative,Neutral
yes sober hahaha tanghaling tapat dude haha wild dont knowwww plan plan go us,0,Cluster 1,Negative,Neutral
never miss icarly son huge crush miranda,0,Cluster 1,Negative,Positive
saw james carville store today head really bald,0,Cluster 1,Negative,Neutral
yellow httpblipfmzg,0,Cluster 1,Negative,Neutral
means youre going come back vancouver way hahah,0,Cluster 1,Negative,Neutral
feeling smooth like chrome,0,Cluster 1,Negative,Positive
ew traffic,0,Cluster 1,Negative,Neutral
downloading songs trying sneak lil homework main priority songs lol,0,Cluster 1,Negative,Neutral
rara alonei need coffee,0,Cluster 1,Negative,Neutral
sounds like,0,Cluster 1,Negative,Positive
bad day day realize mess youve put one happiest days life,0,Cluster 1,Negative,Positive
walking class hate bikeespecially mine,0,Cluster 1,Negative,Neutral
nesmith,0,Cluster 1,Negative,Neutral
failed inspection know pass wooven woantitip bracket sold woven worse taxes,0,Cluster 1,Negative,Neutral
jonas brothers live party rocking hard love song,0,Cluster 1,Negative,Positive
mins hr mins google wave demo looks lot fun would love test though httpbitlywnmsc,0,Cluster 1,Negative,Neutral
sleepy tabz heading bed fun night listened next episode jossd,0,Cluster 1,Negative,Neutral
exception short dude larenz fineass tate yum,0,Cluster 1,Negative,Neutral
screw reviews thought wolverine awesome enough dominic monaghan liking,0,Cluster 1,Negative,Positive
followed us recently please dont offended havent followed back hit limit hopefully free soon,0,Cluster 1,Negative,Positive
yes work,0,Cluster 1,Negative,Positive
hmmm maybe thats meant eluded something brand new know media,0,Cluster 1,Negative,Neutral
done spa meeting vic late lunch,0,Cluster 1,Negative,Neutral
happy monday going tavares today hope everyone blessed day,0,Cluster 1,Negative,Positive
always wanted go oz,0,Cluster 1,Negative,Neutral
thx,0,Cluster 1,Negative,Positive
httptwitpiccomjaz cool luv,0,Cluster 1,Negative,Positive
thats need thereto represent blackberries,0,Cluster 1,Negative,Neutral
okay im dedicating th tweet fact im going apple store huge crack glass screen,0,Cluster 1,Negative,Neutral
could ever actually allowed stay,0,Cluster 1,Negative,Neutral
let know turns,0,Cluster 1,Negative,Neutral
sass detect long isnt back sass haha,0,Cluster 1,Negative,Neutral
yeah thinking ahaha,0,Cluster 1,Negative,Positive
sports bar shatranjanpoli rest ph sports bar andheri w dont know whether helps google ki jai ho,0,Cluster 1,Negative,Neutral
im sleeping accepts appology,0,Cluster 1,Negative,Neutral
wolverine boss seriously william,0,Cluster 1,Negative,Neutral
live pain bring,0,Cluster 1,Negative,Negative
okay im back later,0,Cluster 1,Negative,Neutral
powerblog powerblog challenge keep talking im newbie follower,0,Cluster 1,Negative,Neutral
almost died laptop screen set brightness reinstalled windows vista got headache insanedefaults,0,Cluster 1,Negative,Neutral
waiting tish get got drive moms crv pick duckie first time,0,Cluster 1,Negative,Neutral
trying decide movie friends going well lol p bible study nite means day cake buy,0,Cluster 1,Negative,Neutral
going shower dont want smell school tomorrow,0,Cluster 1,Negative,Neutral
sigh know,0,Cluster 1,Negative,Positive
discovered cause bug new netplayer build publishing bug fix hopefully new beta tomorrow,0,Cluster 1,Negative,Neutral
free twitter tools get followers httpshorttoq httpjijrcomhulz httpshorttor httpveorgxpg,0,Cluster 1,Negative,Neutral
got home work chugging big bottle apple juice,0,Cluster 1,Negative,Neutral
yes please dont go die cry normally leads small animals getting harmed,0,Cluster 1,Negative,Positive
writing report cards soooo tired amazing day check fb soon,0,Cluster 1,Negative,Neutral
big brotherand im done,0,Cluster 1,Negative,Neutral
good news finally finished easactive workout paused hours bad news resistance band torn,0,Cluster 1,Negative,Neutral
well good morning wonderful day neighborhood thanks following another morning,0,Cluster 1,Negative,Positive
ftsk mercy mercedes amazing tonight always,0,Cluster 1,Negative,Positive
hope ok,0,Cluster 1,Negative,Positive
cant school done already hurts much seeing every day,0,Cluster 1,Negative,Neutral
waited listening wind blowing tumbleweed none old enough know someone says crackerack,0,Cluster 1,Negative,Neutral
hell yeah,0,Cluster 1,Negative,Negative
shirt dinner need ask actually ville,0,Cluster 1,Negative,Neutral
know,0,Cluster 1,Negative,Neutral
huh smelly noooo love alex vixon,0,Cluster 1,Negative,Neutral
went party last night dindin showed matching outfits great minds think alike anyway happy birthday ate lara,0,Cluster 1,Negative,Neutral
happy bday woke side earth wishes bit late,0,Cluster 1,Negative,Neutral
thank teaching values better person day love much youre best mum world,0,Cluster 1,Negative,Positive
laughs im glad self confidence wonderful trait ill applaud extra loud okay,0,Cluster 1,Negative,Positive
thanks,0,Cluster 1,Negative,Positive
twittering days,0,Cluster 1,Negative,Neutral
getting ready week nice today stuck inside working,0,Cluster 1,Negative,Positive
tres depressed,0,Cluster 1,Negative,Negative
felt like behaved like son ate compensate pigged homeroasted sugar almonds painful tum threw still feel sick,0,Cluster 1,Negative,Neutral
im sorry hear,0,Cluster 1,Negative,Neutral
thats awesome dude yay surprise celebrities got meet years ago soooo friendly,0,Cluster 1,Negative,Positive
makes happy hear girl talk tweet nba could give nuggets love,0,Cluster 1,Negative,Neutral
getting hang twitter,0,Cluster 1,Negative,Neutral
know neck jacked forced pay parking bc cant turn head parallel park free spaces,0,Cluster 1,Negative,Neutral
want back httpbitlyppwz,0,Cluster 1,Negative,Neutral
going miss roomie longer roomies starting tomorrow,0,Cluster 1,Negative,Neutral
bathing two little angels keyla janice,0,Cluster 1,Negative,Neutral
yep finished chocked full spelling grammatical errors im cleaning tomorrow popping hehe,0,Cluster 1,Negative,Neutral
hahahha lol true always remember bd never remember date even day,0,Cluster 1,Negative,Neutral
family herehanging,0,Cluster 1,Negative,Neutral
watching ellen love dishes tanning gorgeous,0,Cluster 1,Negative,Positive
whats goin hun im worried,0,Cluster 1,Negative,Neutral
im bannished work till,0,Cluster 1,Negative,Neutral
morning get see ill let know right im going go see wolverine,0,Cluster 1,Negative,Neutral
red top tabloids build em knock em,0,Cluster 1,Negative,Neutral
tonight party w girls minus vita,0,Cluster 1,Negative,Neutral
made sad thought youd jumping joy,0,Cluster 1,Negative,Positive
simple,0,Cluster 1,Negative,Neutral
pics uploaded baby pics cats missy adult pretty little kitty batty kitten heaven,0,Cluster 1,Negative,Neutral
saw play amazing,0,Cluster 1,Negative,Positive
glad break twitter virginity two,0,Cluster 1,Negative,Neutral
dinner fam missed,0,Cluster 1,Negative,Negative
live thats want better bound bad eggs though soon learn,0,Cluster 1,Negative,Positive
hell yeah kellynn got twitter finally,0,Cluster 1,Negative,Positive
know worth shot though,0,Cluster 1,Negative,Neutral
opened facebook account im little confused dont really get twitter seems much better,0,Cluster 1,Negative,Neutral
ship im stuck,0,Cluster 1,Negative,Negative
dustbin baby wait x,0,Cluster 1,Negative,Neutral
going dwell happened passed shame supportive life x,0,Cluster 1,Negative,Positive
looks like office tv get mlb network looks like mlbn televising detbal game today wieters,0,Cluster 1,Negative,Neutral
home empty handed comics found today shall indulge cupcakes magnolia bakery,0,Cluster 1,Negative,Neutral
laying bed til workkk oh life definitely pinched nerve,0,Cluster 1,Negative,Neutral
today busy day exhausting,0,Cluster 1,Negative,Neutral
going go sunday ive got much going weekend,0,Cluster 1,Negative,Neutral
sorry hear ur flight got cancelled blows,0,Cluster 1,Negative,Neutral
ohh tooth hurts ohh im sad hurts,0,Cluster 1,Negative,Negative
get distracted id like thank new followers taking trouble follow others feelin love,0,Cluster 1,Negative,Positive
u think u bills haii finished paying mine thats im broke,0,Cluster 1,Negative,Neutral
sure didnt say big jst saw pics u ur last bday looked pretty miss,0,Cluster 1,Negative,Neutral
sore throat planning tet outing marwell thoughgood times,0,Cluster 1,Negative,Neutral
mcfly gig last nightt omg amazin didnt sit whole thing mcfly see best mate tutus,0,Cluster 1,Negative,Neutral
days without sleep migraine thought life postr meant relaxing,0,Cluster 1,Negative,Neutral
sucks,0,Cluster 1,Negative,Negative
whens sway sway winner announced,0,Cluster 1,Negative,Neutral
k check,0,Cluster 1,Negative,Neutral
pretty well wide awake,0,Cluster 1,Negative,Positive
want wake early get coffee tomorrow today going busyy day keep writing booo whoo,0,Cluster 1,Negative,Neutral
miss daddy mommy,0,Cluster 1,Negative,Neutral
dog officially depressed brothers dogs gone doesnt want go outside play halfheartedly,0,Cluster 1,Negative,Neutral
realized cant forward text msgs iphone,0,Cluster 1,Negative,Neutral
frist post find new car parents exciting,0,Cluster 1,Negative,Neutral
argh noo missed killers wossy sucks missed brandon total failure anyone know repeated must investigate,0,Cluster 1,Negative,Negative
seriously bored without anyone talk tired enough sleep,0,Cluster 1,Negative,Positive
lost please help find good home,0,Cluster 1,Negative,Positive
ok ive got bit bad back lifting drum hardware car downer,0,Cluster 1,Negative,Neutral
lmao smh one threw,0,Cluster 1,Negative,Positive
oh nice going,0,Cluster 1,Negative,Positive
getting ready work working weekend,0,Cluster 1,Negative,Neutral
agree,0,Cluster 1,Negative,Positive
computers hopeless everything else,0,Cluster 1,Negative,Negative
degrees gross skies thunderstormsperfect match mood lol,0,Cluster 1,Negative,Positive
nd aww thanks,0,Cluster 1,Negative,Positive
sorry rb ps,0,Cluster 1,Negative,Neutral
saw amazing heeels big,0,Cluster 1,Negative,Positive
stuck finger throat bunch bumps tongue throat,0,Cluster 1,Negative,Neutral
dang last url went httpblipfmaigm,0,Cluster 1,Negative,Neutral
damnit sucks one ones thought id drag back lol,0,Cluster 1,Negative,Negative
boss shes moving nyc,0,Cluster 1,Negative,Neutral
sooo crazy fever,0,Cluster 1,Negative,Negative
spending saturday morning taking notes research essay stupid recalled book im using fair,0,Cluster 1,Negative,Neutral
think need new friends,0,Cluster 1,Negative,Positive
looking forward gig ireland see ya,0,Cluster 1,Negative,Neutral
please review sunehre ad placement httptinyurlcomoowmk,0,Cluster 1,Negative,Neutral
aww loooove,0,Cluster 1,Negative,Neutral
hungry twitter want food,0,Cluster 1,Negative,Neutral
awesome lucky,0,Cluster 1,Negative,Positive
yea know tell everything ps send direct messages telling haha,0,Cluster 1,Negative,Neutral
haha im jewish love one,0,Cluster 1,Negative,Positive
great time beer garden wit boyos think sun got bit though feel bit ill,0,Cluster 1,Negative,Neutral
lm days matt fun weekend,0,Cluster 1,Negative,Neutral
u really dont think maybe ur rightlol btw phone u using think u told bi might app u,0,Cluster 1,Negative,Neutral
feel pain mine way,0,Cluster 1,Negative,Negative
comes home two days,0,Cluster 1,Negative,Neutral
sadly didnt come one,0,Cluster 1,Negative,Neutral
cant wait see boy tomorrow,0,Cluster 1,Negative,Neutral
ehhh check dentist app next week though getting molar pulledroot canal,0,Cluster 1,Negative,Neutral
aww miss driving elmwood,0,Cluster 1,Negative,Neutral
omg wango tango awsome love baby taking,0,Cluster 1,Negative,Neutral
version live interactive transsiberian ticket planner launched httptinyurlcomcljwm cool,0,Cluster 1,Negative,Neutral
really wish could go,0,Cluster 1,Negative,Neutral
yeah real hard know youll get smile,0,Cluster 1,Negative,Positive
im december thats good next big birthday flys sure,0,Cluster 1,Negative,Neutral
made night way funny,0,Cluster 1,Negative,Neutral
make face get home mom watching soaps,0,Cluster 1,Negative,Neutral
go work,0,Cluster 1,Negative,Neutral
cant believe went got boba without,0,Cluster 1,Negative,Neutral
today,0,Cluster 1,Negative,Neutral
thanks warm welcome didnt make plans arrival time air,0,Cluster 1,Negative,Positive
days counting,0,Cluster 1,Negative,Neutral
sorry friends im swamped deadlines right family visiting boot charades,0,Cluster 1,Negative,Neutral
brainfreeze,0,Cluster 1,Negative,Neutral
discovered shortcoming gravity use twitpic integrated doesnt subtract pic url character limit,0,Cluster 1,Negative,Neutral
sunburn peeling,0,Cluster 1,Negative,Neutral
perky purple nail polish isnt perky chipped,0,Cluster 1,Negative,Neutral
httptwitpiccomsx put camera smokers pit longer vandalize door without caught,0,Cluster 1,Negative,Neutral
laying alone since mooks soo comfy fn play pen thought ill first dont one cuddle,0,Cluster 1,Negative,Neutral
hate dentist,0,Cluster 1,Negative,Negative
nothing aimed joining insorry,0,Cluster 1,Negative,Neutral
im taking twitter break cell dying,0,Cluster 1,Negative,Neutral
qood morninq,0,Cluster 1,Negative,Neutral
writing english original writing storyyyyy listening little respect erasure aaaaaah,0,Cluster 1,Negative,Neutral
needs followers,0,Cluster 1,Negative,Neutral
wish could get nails done stupid job,0,Cluster 1,Negative,Positive
little wormy labyrinth sadly passed away today ok hes still around happy ghost form aww httptwitpiccomaim,0,Cluster 1,Negative,Neutral
pants idea could new attempt worldwide attract business back airlines,0,Cluster 1,Negative,Neutral
good one,0,Cluster 1,Negative,Positive
yep infact popular miss india talented film actress lot,0,Cluster 1,Negative,Positive
dosent want go work tomorrow,0,Cluster 1,Negative,Neutral
daniel dsds voice great,0,Cluster 1,Negative,Positive
wish birthday massacre would come australia think said theyre thinking tho httptinyurlcomplfch,0,Cluster 1,Negative,Neutral
hoping go red lobster weekend,0,Cluster 1,Negative,Neutral
xatl u mean jack barakats wow u ever gone house hehe mean ur ssoo lucky address,0,Cluster 1,Negative,Neutral
sure hope becomes afternoon,0,Cluster 1,Negative,Positive
means famous congrats,0,Cluster 1,Negative,Positive
phone passed away yesterday jumped table searching new phone,0,Cluster 1,Negative,Neutral
fantastic friends including several ones met thanks life amazing people,0,Cluster 1,Negative,Positive
tamlyn wishes cool sock draw,0,Cluster 1,Negative,Positive
rice crusty bread chili aawww,0,Cluster 1,Negative,Neutral
like minds evening dear,0,Cluster 1,Negative,Positive
come save packing please,0,Cluster 1,Negative,Positive
yes love tea makes typically english,0,Cluster 1,Negative,Positive
mouth sure,0,Cluster 1,Negative,Positive
decde finally hour history pm went highschool make homework friend,0,Cluster 1,Negative,Neutral
pancakes lemon sugar thanks,0,Cluster 1,Negative,Neutral
si bueno guess dont entertain,0,Cluster 1,Negative,Neutral
im hunrgy right heels kill hardly walk,0,Cluster 1,Negative,Neutral
electronic keys stopped working keyhole cant get car much technology,0,Cluster 1,Negative,Neutral
yay three followers good know one person big wide world likes fishies,0,Cluster 1,Negative,Positive
name tony hey poor tony,0,Cluster 1,Negative,Neutral
goodmorning,0,Cluster 1,Negative,Neutral
took shift tomorrow dont really feel like working right,0,Cluster 1,Negative,Neutral
saw black snake garden went back picture gone,0,Cluster 1,Negative,Neutral
httptwitpiccomwukt bought ludi rug dogs best,0,Cluster 1,Negative,Neutral
waterfront anymore faccia luna clarendon,0,Cluster 1,Negative,Neutral
slipped caught flu feeling like poop,0,Cluster 1,Negative,Positive
urge play wow wait weeks til im dads days til mcfly im excited l,0,Cluster 1,Negative,Neutral
ok passengers one alive theyre dead dont know til end cry,0,Cluster 1,Negative,Positive
