text,cleaned_text,labels
"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",ratt rocked nashville toniteone thing sucked encore like still fun show pearcy hott bad boy look,1
 I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,love im available pm dear would love help convert vids,1
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,girl hair salon asked shall trim eyebrows old feel,1
egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,egh blah boooooooooooo dunno wan na go work hangovers suckkkkkk im drunk mess,1
:visiting my friendster and facebook,visiting friendster facebook,1
"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",donbt like peel prawns also dont like going shopping running money crawling round car looking,2
 which case? I got a new one last week and I`m not thrilled at all with mine.,case got new one last week im thrilled mine,1
 Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,check httptwittersuckscom connect tweeple hate twitter,1
" also bored at school, its my third freelesson( freistunde )",also bored school third freelesson freistunde,1
 hm... Both of us I guess...,hm us guess,1
 it is ****...u have dissappointed me that past few days,u dissappointed past days,1
 romance zero is funny,romance zero funny,1
 I`d rather do the early run..but I am a morning runner,id rather early runbut morning runner,1
Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,bah coworker ran work late bag smacked knee really hurts,1
will be back later.  http://plurk.com/p/rp3k7,back later httpplurkcomprpk,1
Aw. Torn ace of hearts  #Hunchback,aw torn ace hearts hunchback,1
 what fun are you speaking of?,fun speaking,1
"i lost all my friends, i`m alone and sleepy..i wanna go home",lost friends im alone sleepyi wan na go home,1
 haha yes,haha yes,1
I give in to easily,give easily,1
What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,better way spoil mum let kick back relax nice meal bottle favorite wine wine red,1
mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,mannnn got iphone im jealous httpbitlyngnar,1
Is at a photoshoot.,photoshoot,1
  He`s awesome... Have you worked with him before? He`s a good friend.,hes awesome worked hes good friend,1
Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,yay playing show tonight boo gon na soggy im work right playing,1
Chilliin,chilliin,1
" If you know such agent, do let me know",know agent let know,1
I still smell of smoke  #kitchenfire,still smell smoke kitchenfire,1
 a celtics-lakers rematch sounds better don`t you think? lol,celticslakers rematch sounds better dont think lol,1
"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",anyone extra keane ticket promise buy drink take rad pics fb blog flickr etc,1
"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",ride one catch one summer til pop open one,1
 she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,good gorjuz yea kno asked yesterday tha hospital talked u said,1
OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,ok im popped say hi check things ill probably head guttah later tonight,1
"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",wow really missin family today baddd,1
 My sources say no,sources say,1
I am sooo tired,sooo tired,1
" Hey, you change your twitter account, and you didn`t even tell me...",hey change twitter account didnt even tell,1
 THANK YYYYYYYYYOOOOOOOOOOUUUUU!,thank yyyyyyyyyoooooooooouuuuu,1
 lucky kid...i so wanna see loserville  pity im in oz....,lucky kidi wan na see loserville pity im oz,1
fell asleep waiting for my ride!,fell asleep waiting ride,1
Sick. With a flu like thing.,sick flu like thing,1
"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",still reply simfinger problem irape parody video get response sorry guys,1
Happy Star Wars day everyone! and Enjoy the holiday (UK),happy star wars day everyone enjoy holiday uk,0
 Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,miles im essex give plenty warning arrive time get least one free beers,1
"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",snoring annoying n keeps sleeping like right lol honestly wud miss eva left love,1
i miss you bby      wish you were going tomorrow to make me do good.,miss bby wish going tomorrow make good,2
 Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,well im working isnt quite ready post publicly still beta testing cool new script coded,1
 SWEEEEET - San Fran is awesome!!!!  Love it there,sweeeeet san fran awesome love,1
_Mounce yes and it lasts way past my bedtime!,mounce yes lasts way past bedtime,1
 Hi  how are you doing ???  *just joined twitter...*,hi joined twitter,1
waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,waiting sleeping pills kick gon na tired work tomorrow,1
eating ice cream and then getting ready for graduation.,eating ice cream getting ready graduation,1
Happy Mothers day to all you Mums out there,happy mothers day mums,0
" CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",caseys gone piddled little carpet shes prolly freaked cause new get back,1
 hemp cloth is marvelous but unfortunately no,hemp cloth marvelous unfortunately,1
Gonna read a story bout adam lambert online then bed. Nighty night,gon na read story bout adam lambert online bed nighty night,1
 We saw that in none 3D - the baddie`s the best,saw none baddies best,1
4am. And Im on the beach. Pretty,im beach pretty,1
" Certainly not Cheers than, huh?",certainly cheers huh,1
"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",week post myhorrible traumatic jumping cholla accidentchollas next dirty trickpieces starting emerge hand ouch,1
i realy wanted to go out cause its so nice but everybodys busy,realy wanted go cause nice everybodys busy,1
 Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,awesome im ocean beach know way yourbiggestfan im real big fan,1
at least I get to watch over time  Let`s go Pens!!,least get watch time lets go pens,1
 cool i wear black most of the time when i go out,cool wear black time go,1
 haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,haha know work blip apart obvious thanks reblipping song nice day,1
 have a safe trip joshy poo.......you`ll knock them dead at your speech,safe trip joshy pooyoull knock dead speech,1
" woof, I wish I was allowed to go",woof wish allowed go,1
if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,u friendster add email adress add lococrimestcom add leave comment,1
  has tickets.......?,tickets,1
"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",thank afrin nasal spray also got giant teacup tonight,1
 ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,acsm unfathomable think one one kept comfort bedrooms yes,1
"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",aww love daddy works days week almost day still tries go sf us,1
So many tests todayyy  I don`t feel confident about anyy.,many tests todayyy dont feel confident anyy,1
graduation is done  im a little sad.. anyone want to hang out???,graduation done im little sad anyone want hang,1
 hahaa your awesomee !,hahaa awesomee,1
holy smokes! star trek was freaking awesomeeeee,holy smokes star trek freaking awesomeeeee,1
"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",hate fallout keeps making jump im also low health money ammo food dont worry ill get,1
" I had it! On my itunes, but then I lost all my songs.",itunes lost songs,1
What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,whats gloomy weather sun must tired come play heading victoria gardens impulse buys haha,1
"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",looking forward next week maths geography english french exams totalling hours,1
" Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",poor get outside sleep garden sun good dont forget suncream,1
not well,well,1
 Not a prob hun,prob hun,1
"at dads, watching some mtv and am going on sims2 in a minutee",dads watching mtv going sims minutee,2
 Absolutely,absolutely,1
 what`s the matter chickadee?,whats matter chickadee,1
 hey mia!  totally adore your music.  when will your cd be out?,hey mia totally adore music cd,1
"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",shopping cleaning bmfing webcam chatting nephews nothing spesh good bank holiday monday nonetheless,1
 =O you need to ask him something? Lmao I love him too,need ask something lmao love,1
 those splinters look very painful...but you were being very heroic saving mr. Pickle,splinters look painfulbut heroic saving mr pickle,1
 why are you sad?,sad,1
 Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,nice see tweeting sunday th may celebrating mothers day today nice yer mom,1
decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,decided trans frm relaxed natural hair wish whole head looked like roots age instant gratification,1
 Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,namaskar namaste r marathi people say namaskar marathi word naaaah,1
" Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",congrats cuss like matter minutes didnt know reward,1
Humous and Dorito`s.... Oh yes,humous doritos oh yes,1
"missed all the awesome weather, because she was in a movie!",missed awesome weather movie,1
Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,today going normal day hope group pilots large airline come last night much drink,2
"These kids are terrible! If I was in Good Evans, I`d call Childline",kids terrible good evans id call childline,1
"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",unfortunatley aerlingus longer fly copenhagen fly ryanair billund drive copenhagen one days,1
" What`s sad is that I actually had to google that term. That sucks, tho.",whats sad actually google term sucks tho,1
Hate fighting,hate fighting,1
" I watched that too!!! I didnt want her to win, but she put up a good fight..lol",watched didnt want win put good fightlol,1
Car-warmed Sprite tastes like sore throat,carwarmed sprite tastes like sore throat,1
Just came 11th in cross country and beat dumbo,came th cross country beat dumbo,1
Candle wax is very enjoyable.,candle wax enjoyable,1
" She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",shes unassuming unpretentious shes suppose thats shes endearingbecause relate,1
tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,tomorrow valerias lunch going get hair done im arraving late got cousins babtizm whatever spell,2
goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,goooooddd morning tweets week three workout mention got new glasses yesterday,1
 me too. I hate my computer so much..,hate computer much,1
 fine! Going to do my big walk today 20 or so miles,fine going big walk today miles,2
I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,want red cruisers dont like ones lmfao,1
Mmmmmmmm... ? it in the morning,mmmmmmmm morning,1
 me neither,neither,1
"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",hours work sunday boo find time two hour lunchbreak though yeah,1
Bugger. forgot I still have washing in my machine,bugger forgot still washing machine,1
"_Laurie sending love, blessings & healing thoughts to you & family  peace",laurie sending love blessings healing thoughts family peace,1
My back hurts...really bad,back hurtsreally bad,1
" ah yes, I know that feeling",ah yes know feeling,1
Night of the cookers with my dad,night cookers dad,1
My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,modem offline week god bless g network tim left may schedule brutal,1
 Nope I am in Coquitlam,nope coquitlam,1
 Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,parent teacher thing yesterday boring going skl saturday lol,2
  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,lichfield tweetup sounds like fun hope see everyone else,1
Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,big booming thunder storm almost maybe go home early ah probably,1
Few Bevvies 2day in twn..great on a day off!!,bevvies day twngreat day,1
first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,first night myers wout lydia im actually excited summer,1
 good morning,good morning,1
 its the best show EVER!,best show ever,1
URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,url previous post timer job httpbitlyafdb id removed space messed url es,1
i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,think iv hurt tooth eilish cassie drawing competiton draw cookies pineapples haha l,1
 I want to know when the auditions are Mander! Text or...reply please!,want know auditions mander text orreply please,1
or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,even nooooo secret namerebecca please,1
 I miss my neice  can`t wait to see her bad n grown ****! Lol,miss neice cant wait see bad n grown lol,1
i need to get my computer fixed,need get computer fixed,1
really hopes her car`s illness is not terminal...,really hopes cars illness terminal,1
"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",cool people want find following today english guess english dont tweet,1
 no sir...i woulda put honey...but i don`t have any,siri woulda put honeybut dont,1
who watched X-men origins: wolverine? i totally loved it! haha,watched xmen origins wolverine totally loved haha,1
 I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,voted u personal myspace keep talking fakes u helped thru hrdest time life x,1
 I`m sad that I missed you guys last night!,im sad missed guys last night,1
Finally got a call for marriage counseling 3 days late....,finally got call marriage counseling days late,1
 ok then,ok,1
_420 why baby?,baby,1
today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,today last day high school ended going home sick stupid dead rats,2
We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,impromptu pool party except dont know swim cant get,1
lost my tooth 2day whilst i was eating gum...oww,lost tooth day whilst eating gumoww,1
happy 1 year! <3,happy year,0
"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",oh hella forgot say official good morning like hear go goooooooooooood morrrrrrrrning twitterville lol,1
 *phew*  Will make a note in case anyone else runs into the same issueï¿½,phew make note case anyone else runs issue,1
  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,vote every day,1
I`m starving!! This diet is killing me but I can`t eat after 8pm,im starving diet killing cant eat pm,1
 i talk to you,talk,1
im soo bored...im deffo missing my music channels,im soo boredim deffo missing music channels,1
 nite nite bday girl  have fun at concert,nite nite bday girl fun concert,1
"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",nicotine replacement patch hours far good sleep hours getting bit twitchy,1
_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,sanderson whats twatter lately either cant get replies dont turn,1
should be sleeping.  lost my voice a couple day ago.,sleeping lost voice couple day ago,1
http://twitpic.com/66xlm -  hate when my PARKED car gets hit,httptwitpiccomxlm hate parked car gets hit,1
 I`ve heard this fall. I`m waiting too!,ive heard fall im waiting,1
 more nightmares?  *huggles*,nightmares huggles,1
I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,creeper feel disappointed cyberstalking skills internet privacy,1
going to bed its late and I have headache,going bed late headache,2
happy mother`s day to all moms out there...,happy mothers day moms,0
Grabbing coffee from  then making mom breakfast,grabbing coffee making mom breakfast,1
im thinking that im going to have fun tonight....and maybe some changes are coming,im thinking im going fun tonightand maybe changes coming,2
 thanks. before the major chop.,thanks major chop,1
" Haha I know, I cant handle the fame!  and thank you!",haha know cant handle fame thank,1
just got up and updated my ipod,got updated ipod,1
 yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,yes sober hahaha tanghaling tapat dude haha wild dont knowwww plan plan go us,1
 We never miss ICarly - my son has a huge crush on Miranda,never miss icarly son huge crush miranda,1
Saw James carville in the store today. His head is really that bald,saw james carville store today head really bald,1
yellow for   ? http://blip.fm/~5z05g,yellow httpblipfmzg,1
 which means you`re just going to have to come back to vancouver and have it our way! hahah,means youre going come back vancouver way hahah,2
Feeling smooth like chrome,feeling smooth like chrome,1
Ew traffic,ew traffic,1
"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",downloading songs trying sneak lil homework main priority songs lol,1
@_Ra_Ra_ your not alone...i need coffee too.,rara alonei need coffee,1
 Sounds like me,sounds like,1
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,bad day day realize mess youve put one happiest days life,1
Walking to class. I hate not having a bike....especially mine.,walking class hate bikeespecially mine,1
_nesmith,nesmith,1
"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",failed inspection know pass wooven woantitip bracket sold woven worse taxes,1
"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",jonas brothers live party rocking hard love song,1
happy mother`s day to all the mothers in the world.,happy mothers day mothers world,0
"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",mins hr mins google wave demo looks lot fun would love test though httpbitlywnmsc,1
Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,sleepy tabz heading bed fun night listened next episode jossd,1
The exception for a short dude: Larenz fineass Tate yum,exception short dude larenz fineass tate yum,1
"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",screw reviews thought wolverine awesome enough dominic monaghan liking,1
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",followed us recently please dont offended havent followed back hit limit hopefully free soon,1
 Yes i work 6 to 3...,yes work,1
" Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",hmmm maybe thats meant eluded something brand new know media,1
Done at the spa   now meeting vic for some late lunch!,done spa meeting vic late lunch,1
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,happy monday going tavares today hope everyone blessed day,2
 Always have wanted to go to Oz,always wanted go oz,1
 Thx,thx,1
 http://twitpic.com/4jaz5 - Cool... luv it,httptwitpiccomjaz cool luv,1
  that`s why I need to be there...To represent the Blackberries,thats need thereto represent blackberries,1
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,okay im dedicating th tweet fact im going apple store huge crack glass screen,2
 If only we could ever actually be allowed to stay here and do that,could ever actually allowed stay,1
 Let me know how that turns out!!,let know turns,1
 was that sass I detect?  As long as it isn`t back sass! Haha,sass detect long isnt back sass haha,1
" yeah I was thinking about that ,ahaha",yeah thinking ahaha,1
 Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho,sports bar shatranjanpoli rest ph sports bar andheri w dont know whether helps google ki jai ho,1
I`m not sleeping at all until  accepts my appology,im sleeping accepts appology,1
"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",wolverine boss seriously william,1
" I live for pain, bring it on",live pain bring,1
"okay, i`m out for a while  back later!",okay im back later,1
  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,powerblog powerblog challenge keep talking im newbie follower,1
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,almost died laptop screen set brightness reinstalled windows vista got headache insanedefaults,1
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,waiting tish get got drive moms crv pick duckie first time,1
"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",trying decide movie friends going well lol p bible study nite means day cake buy,2
going to shower because i don`t want to smell at school tomorrow,going shower dont want smell school tomorrow,2
 Sigh... you know I am...,sigh know,1
"discovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow",discovered cause bug new netplayer build publishing bug fix hopefully new beta tomorrow,1
Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,free twitter tools get followers httpshorttoq httpjijrcomhulz httpshorttor httpveorgxpg,1
just got home from work.... and is chugging down a big bottle of apple juice.,got home work chugging big bottle apple juice,1
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,yes please dont go die cry normally leads small animals getting harmed,1
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,writing report cards soooo tired amazing day check fb soon,1
 it was only once for my big brother...and I`m done now,big brotherand im done,1
good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn,good news finally finished easactive workout paused hours bad news resistance band torn,1
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",well good morning wonderful day neighborhood thanks following another morning,1
FTSK and Mercy Mercedes were amazing tonight.. as always,ftsk mercy mercedes amazing tonight always,1
  hope he is ok!,hope ok,1
can`t school just be done already? it hurts too much... seeing him every day,cant school done already hurts much seeing every day,1
"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",waited listening wind blowing tumbleweed none old enough know someone says crackerack,1
 Hell Yeah!,hell yeah,1
 HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,shirt dinner need ask actually ville,1
 i know!!,know,1
 huh what the ****? Smelly? Noooo. I love alex Vixon,huh smelly noooo love alex vixon,1
"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",went party last night dindin showed matching outfits great minds think alike anyway happy birthday ate lara,1
" Happy b-day! Just woke up on this side of Earth, so wishes are bit late",happy bday woke side earth wishes bit late,1
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",thank teaching values better person day love much youre best mum world,1
HAPPY MOTHERS DAY.!,happy mothers day,0
" *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",laughs im glad self confidence wonderful trait ill applaud extra loud okay,1
  Thanks,thanks,1
twittering after 2 days!,twittering days,1
Getting ready for week  Its too nice today to be stuck inside working!,getting ready week nice today stuck inside working,1
I am tres depressed,tres depressed,1
"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",felt like behaved like son ate compensate pigged homeroasted sugar almonds painful tum threw still feel sick,1
Happy Mothers Day people. i love my mom a lot still,happy mothers day people love mom lot still,0
 I`m sorry to hear that.,im sorry hear,1
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",thats awesome dude yay surprise celebrities got meet years ago soooo friendly,1
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",makes happy hear girl talk tweet nba could give nuggets love,1
Is getting the hang of Twitter.,getting hang twitter,1
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,know neck jacked forced pay parking bc cant turn head parallel park free spaces,1
I want it BACK NOW!: http://bit.ly/PP1WZ,want back httpbitlyppwz,1
Going to miss my roomie ... We will no longer be roomies starting tomorrow,going miss roomie longer roomies starting tomorrow,2
"bathing with two little angels, Keyla and Janice.",bathing two little angels keyla janice,1
" Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",yep finished chocked full spelling grammatical errors im cleaning tomorrow popping hehe,1
 HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,hahahha lol true always remember bd never remember date even day,1
"Family is here,hanging with them",family herehanging,1
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,watching ellen love dishes tanning gorgeous,1
 what`s goin on hun?  I`m worried about you,whats goin hun im worried,1
 Im not bannished... but I am at work till 6,im bannished work till,1
" Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",morning get see ill let know right im going go see wolverine,2
" red top tabloids, build em up, knock em down",red top tabloids build em knock em,1
tonight in party w/ my girls (minus vita),tonight party w girls minus vita,1
  why not now you made me sad I thought you`d be jumping for joy,made sad thought youd jumping joy,1
 Simple my a#@,simple,1
"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",pics uploaded baby pics cats missy adult pretty little kitty batty kitten heaven,1
" I saw the play of it here, it was amazing",saw play amazing,1
 _ i am glad to break my twitter virginity with you two.,glad break twitter virginity two,1
Dinner with the fam... I have missed them,dinner fam missed,1
"_Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.",live thats want better bound bad eggs though soon learn,1
