text,cleaned_text,agg_labels
 http://twitpic.com/4vdc3 - Lexus has the Twitpic! Happy mother`s day to you Lexus.  I hopw it`s a nice one for you.,httptwitpiccomvdc lexus twitpic happy mothers day lexus hopw nice one,1
it`s Mothers Day today,mothers day today,1
"Happy Mother`s Day to all the mommies out there, be you woman or man as long as you`re `momma` to someone this is your day!",happy mothers day mommies woman man long youre momma someone day,1
Happy Mom`s day to your moms !,happy moms day moms,1
HAPPY MOMMA`s DAY ALL. HONOR YOUR MOMs  sign up for #maternalhealth  here`s for all mothers and luvin kids out there:  http://bit.ly/Bpekk,happy mommas day honor moms sign maternalhealth heres mothers luvin kids httpbitlybpekk,1
goooodnight everyone!  and Happy Mothers Day to all the mothers out there.,goooodnight everyone happy mothers day mothers,1
Happy Mothers Day!,happy mothers day,1
 Happy May Day and Star Wars Day,happy may day star wars day,1
happy mother`s day!,happy mothers day,1
Happy Mothers day to all mums,happy mothers day mums,1
happy star wars dayyyy =D and hbd to uncle LEE,happy star wars dayyyy hbd uncle lee,1
Happy Mothers Day!!!  <3,happy mothers day,1
Happy Mother`s Day to all the mothers out there!!,happy mothers day mothers,1
 Happy Mother`s Day!,happy mothers day,1
"Hope all the Mum`s out there had a Mother`s Day with love, close family & friends.",hope mums mothers day love close family friends,1
Just finished Church. Happy Mother`s Day!,finished church happy mothers day,1
: Out to dinner for the fam and Grandma for Mother`s Day.,dinner fam grandma mothers day,1
Just woke up. Gonna have a shower and go to Nan`s for Mother`s day lunch. Happy Mother`s day,woke gon na shower go nans mothers day lunch happy mothers day,1
Yes... today is Star Wars Day!    May the 4th be with you!,yes today star wars day may th,1
WiSHiNG ALL THE MOTHERS A HAPPY MOTHER`S DAY,wishing mothers happy mothers day,1
wants to greet all the mom`s out there a Happy Mothers Day!!! May you enjoy your day!!,wants greet moms happy mothers day may enjoy day,1
HAPPY MOTHER`S DAY TO MY BEAUTIFUL MOMMIES,happy mothers day beautiful mommies,1
" Also, HAPPY STAR WARS DAY!!!",also happy star wars day,1
happy mother`s day! everyone have a great day and make sure you go see ya mommas,happy mothers day everyone great day make sure go see ya mommas,1
 yay Happy Mothers Day to me  Screw burnt breakfast in bed I`ll take some E.  (erniehalter live > http://ustre.am/2VkO),yay happy mothers day screw burnt breakfast bed ill take e erniehalter live httpustreamvko,1
Good morning! I`m just woke up it`s Mother`s Day,good morning im woke mothers day,1
Happy Mothers Day! ..ok..seriously..good night,happy mothers day okseriouslygood night,1
The sun is out here in Melbourne! Happy Mothers Day to all the mums out there,sun melbourne happy mothers day mums,1
"'suprised' mom with a cake and a present, because it`s mother`s day!  dad had bought flowers. : >",suprised mom cake present mothers day dad bought flowers,1
Today is my first Mothers Day with my little boy. Hope you`re having a beautiful Mothers Day too,today first mothers day little boy hope youre beautiful mothers day,1
Mother`s Day has been good for me,mothers day good,1
"googled mothers day, PHEW, US & UK have different dates! Learn something new every day",googled mothers day phew us uk different dates learn something new every day,1
happy mothers` day to all your moms!,happy mothers day moms,1
HAPPY MOTHER`S DAY to ALL MOM`S HERE and to YOUR MOMS too,happy mothers day moms moms,1
Happy Mother`s Day. . .,happy mothers day,1
Happy mothers day mom.. i love yew...,happy mothers day mom love yew,1
Happy Mothers Day to all the mommy`s out there!,happy mothers day mommys,1
Happy Mothers Day. Havent got mom a present yet? Print off an Amazon Gift Card for her!  http://snipurl.com/hq0n1,happy mothers day havent got mom present yet print amazon gift card httpsnipurlcomhqn,1
Wishing all MOMs a very Happy Mother`s Day!!,wishing moms happy mothers day,1
Happy Star Wars Day! May the 4th be with you  (via Nige the Goth),happy star wars day may th via nige goth,1
 Btw happy mom`s day to hannah and your mom and han`s mom! Yey! Moms unite! This is your day,btw happy moms day hannah mom hans mom yey moms unite day,1
Happy star wars day everyone,happy star wars day everyone,1
May the 4th be with you. Happy Star Wars Day!  http://ow.ly/52Aw,may th happy star wars day httpowlyaw,1
 thanks! You`re the first one to wish me a happy mother`s day,thanks youre first one wish happy mothers day,1
Happy Mothers Day to all the mom`s around  Hope you have a wonderful day!,happy mothers day moms around hope wonderful day,1
Happy Mothers Day to all your moms!,happy mothers day moms,1
"Happy Mother`s Day to all mothers out there!  I am not one myself, but I have been called something along those lines",happy mothers day mothers one called something along lines,1
Happy Mother`s Day!  http://tinyurl.com/re74xc,happy mothers day httptinyurlcomrexc,1
HAPPY MOTHERS DAY TO ALL THE MOTHERS OUT THERE!!!!!!!,happy mothers day mothers,1
Happy Mother`s Day to all you tweeting mothers,happy mothers day tweeting mothers,1
Happy Mother`s Day 2 all the fabulous moms out there. The world wouldn`t run without us. Keep up the good work! Enjoy ur day,happy mothers day fabulous moms world wouldnt run without us keep good work enjoy ur day,1
 Nice! What r ur plans for 2day? Oh n Happy Mothers Day if u happen 2 b a mother,nice r ur plans day oh n happy mothers day u happen b mother,1
wants to greet all the moms a Happy Mother`s Day!!,wants greet moms happy mothers day,1
Happy Star Wars day!,happy star wars day,1
" what about the dilfs? Oh wait, wrong month....HAPPY MOTHERS DAY",dilfs oh wait wrong monthhappy mothers day,1
" Yup, us too. Spending time with Mom, Sis and Aunt  Have A great Mothers Day!",yup us spending time mom sis aunt great mothers day,1
GOODNiGHT...HAPPY MOTHERS DAY TO ALL THE MAMi`S ON TWiTTER,goodnighthappy mothers day mamis twitter,1
 giv ya mom n gman happy mothers day,giv ya mom n gman happy mothers day,1
"Sheena Othman Happy Mother`s Day to all mothers in the world......  I`m yet to experience the joy of being a m.. 31: Sorry, but you ha ...",sheena othman happy mothers day mothers world im yet experience joy sorry ha,1
says HAPPY MOTHER`S DAY!  http://plurk.com/p/sv70e,says happy mothers day httpplurkcompsve,1
is about to go buy his mother a mother`s day gift,go buy mother mothers day gift,1
Mother`s Day Wishes from google... Pretty & beautiful flowers on google logo  http://www.google.co.in/,mothers day wishes google pretty beautiful flowers google logo httpwwwgooglecoin,1
Happy Mother`s Day to all my favorite moms.,happy mothers day favorite moms,1
Psyched for Mother`s day at the GKR party--and teaching mom and dad about baseball,psyched mothers day gkr partyand teaching mom dad baseball,1
Happy Mother`s Day to all the Mom`s,happy mothers day moms,1
Happy Mother`s Daaay!!,happy mothers daaay,1
 My mum loved the Camp Rock mothers day card I gave her. I knew she would. Happy Mothers Day from New Zealand! Haha ILY lots  ****,mum loved camp rock mothers day card gave knew would happy mothers day new zealand haha ily lots,1
HAPPY MOTHERS DAY!,happy mothers day,1
oh yeah... happy Mothers day to every mom out there and to my friend`s moms,oh yeah happy mothers day every mom friends moms,1
Apparently its Star Wars Day today - so May the 4th be with you  http://tinyurl.com/axsujx,apparently star wars day today may th httptinyurlcomaxsujx,1
Happy mother`s day to all the mom`s! Love you mom,happy mothers day moms love mom,1
Happy Mothers day to all the grown n happy & the lil prego smuts lol Just Playing everyone is loved.. happy Mothers Day & God Bless,happy mothers day grown n happy lil prego smuts lol playing everyone loved happy mothers day god bless,1
is Happy Mothers Day.   Taking Mum out for dinner to one of my favourite restaurants down Glenelg now,happy mothers day taking mum dinner one favourite restaurants glenelg,1
watching because i said so! happy mothers day!,watching said happy mothers day,1
Happy #juddday everyone!,happy juddday everyone,1
happy mother`s day to all moms and pseudo stepmoms,happy mothers day moms pseudo stepmoms,1
"oh yes, happy star wars day.   May the fourth be with you...",oh yes happy star wars day may fourth,1
 lol yep  tell rhonda i said happy mother`s day!,lol yep tell rhonda said happy mothers day,1
"I`m so sleepy now...g`night! HAPPY MOTHER`S DAY to your Mother, Mama, Ma, Mommy (whatever you call them. LoL) from Mie!",im sleepy nowgnight happy mothers day mother mama mommy whatever call lol mie,1
Goodknight Twitterland! Happy Mother`s Day to all you blockhead mommas! Have a wonderful day!,goodknight twitterland happy mothers day blockhead mommas wonderful day,1
"Mom, where ever you are; Happy Mothers day",mom ever happy mothers day,1
Apparently today is Happy Star Wars day.  I`m suppose to say may the 4th be with you.,apparently today happy star wars day im suppose say may th,1
Happy mother`s day to all mothers here!,happy mothers day mothers,1
Happy Star Wars Day! May the 4th be with you!  http://tr.im/kq95,happy star wars day may th httptrimkq,1
Enjoyed x-men w/   now it`s time to rest up for this drive home...happy mother`s day twit-moms!!!,enjoyed xmen w time rest drive homehappy mothers day twitmoms,1
May the 4th be with you    Happy Star Wars Day !!!,may th happy star wars day,1
 hey Samantha welcome  and happy mother`s day!!,hey samantha welcome happy mothers day,1
 Please wish your wife Evelyn a Happy Mother`s Day for me and tell her I hope that she has a wonderful day. Spoil her today.,please wish wife evelyn happy mothers day tell hope wonderful day spoil today,1
happpy mothers day,happpy mothers day,1
"OK dear tweeps, goodnight! I need 2 get up early 2 say Happy Mothers Day 2 wife n mom",ok dear tweeps goodnight need get early say happy mothers day wife n mom,1
i have become my mothers slave.,become mothers slave,1
happy mother`s day!!!,happy mothers day,1
Got moommy somn special for mothers day,got moommy somn special mothers day,1
happy mother`s day!!!     gr8 day,happy mothers day gr day,1
says: 'Happy Mothers Day!',says happy mothers day,1
happy mothers day! im gunna crawl up in a ball and act like i dont exist  lmfaoo,happy mothers day im gunna crawl ball act like dont exist lmfaoo,1
Happy Star Wars Day everyone!  Whats everyone up to this rainy bank holiday?  I am heading out soon for coffee with my mum then shopping,happy star wars day everyone whats everyone rainy bank holiday heading soon coffee mum shopping,1
happy momies day  http://bit.ly/Skqli,happy momies day httpbitlyskqli,1
is at the salon with my mom  happy mothers day mom!,salon mom happy mothers day mom,1
 lol sweet!!! ...i still have yet to watch the 4th movie  hope ur having a lovely weekend! happy mother`s day from aus! =P haha,lol sweet still yet watch th movie hope ur lovely weekend happy mothers day aus p haha,1
Pulled out the breakfast sausage for Mothers Day. Hopefully the baby sleeps in,pulled breakfast sausage mothers day hopefully baby sleeps,1
check on ya`ll in a bit. im in for a Mother`s day haircut. ciao!...,check yall bit im mothers day haircut ciao,1
Happy Mother`s Day.....................I had a gr8 day with my kids & my MUM,happy mothers dayi gr day kids mum,1
"got THE best mothers day present from Tys. It made me cry uncontrollably, and it wasn`t a present",got best mothers day present tys made cry uncontrollably wasnt present,1
making mother`s day gift,making mothers day gift,1
Happy Star Wars day! May the 4th be with you!,happy star wars day may th,1
dang ya`ll mothers day already. goodnight twitter world. i start shooting monday.,dang yall mothers day already goodnight twitter world start shooting monday,1
_d Wish Leigh a Happy Mother`s Day for me! It`s midnight in NY,wish leigh happy mothers day midnight ny,1
"_oliver No Happy Mums day for the Mums, only the guys????",oliver happy mums day mums guys,1
Loves him but most importantly loves my mom! Happy Mothers Day!,loves importantly loves mom happy mothers day,1
HAPPY MOTHERS DAY MOM!,happy mothers day mom,1
/ happy mommy`s day,happy mommys day,1
Happy STAR WARS Day - May the fourth be with you!,happy star wars day may fourth,1
to all mothers out there... or even soon to be mothers >8D happy mother`s day y`all,mothers even soon mothers happy mothers day yall,1
Happy Mother`s Day mommy and grandma haha  ily,happy mothers day mommy grandma haha ily,1
i`m playing left 4 dead with my friends gilbert and louie  its so fun  happy mothers day to all your moms! ),im playing left dead friends gilbert louie fun happy mothers day moms,1
Happy Mother`s Day ~ and for single dads who plays both mom and dad role enjoy your day too,happy mothers day single dads plays mom dad role enjoy day,1
"Spending a wonderful Mothers Day with Brad, Mom and Dad.  Happy Mothers Day to all Moms",spending wonderful mothers day brad mom dad happy mothers day moms,1
#Happy Stars Wars day....Me`s a JA-JA BINKS ha  A crappy day outside though ah well makes me have a bit more motivation to revise,happy stars wars daymes jaja binks ha crappy day outside though ah well makes bit motivation revise,1
" the only thing I know about star trek is the joke from tina fey`s twitter, 'may the 4th be with you'",thing know star trek joke tina feys twitter may th,1
",:Mother, Happy Mother`s Day.... and to all Mom`s there......  God Bless yhaw all... ?",mother happy mothers day moms god bless yhaw,1
Happy Mothers Day! allergies are ****. Oh and I hope Miller has a better day too,happy mothers day allergies oh hope miller better day,1
This is great!  I just found out that it`s Star Wars Day.       'May the 4th' be with you!  Have you hugged your Ewok today?,great found star wars day may th hugged ewok today,1
happy mothers dayy,happy mothers dayy,1
Happy Mother`s Day to all the mothers,happy mothers day mothers,1
Happy Mother`s Day to all Mothers out there,happy mothers day mothers,1
hapee mother`s day t all the mothers out there!,hapee mothers day mothers,1
Happy mothers day to all the mothers out there!,happy mothers day mothers,1
~ Happy Star Wars Day.every one ~  ...may the fourth be with you!,happy star wars dayevery one may fourth,1
in about 30 minutes Happy Mothers Day to alll the amazing moms out there!!!  going to bed!!,minutes happy mothers day alll amazing moms going bed,1
Happy Mother`s Day Mom! I love You!,happy mothers day mom love,1
planning for mothers day special for my beloved mother,planning mothers day special beloved mother,1
greeting you all a happy mother`s day!,greeting happy mothers day,1
HAPPY MOTHERS` DAY!,happy mothers day,1
happy mother`s day mom. love you always,happy mothers day mom love always,1
Happy Mother`s Day.. To All The MommiiEs Owt Theaa... & ii Think ii Got Thaa Hang Of ThiiS ThiiNg.. Yay!!!,happy mothers day mommiies owt theaa ii think ii got thaa hang thiis thiing yay,1
So tired and I have to work till 10:30 tonight!    Happy mothers day to everyone too  http://tinyurl.com/qu62bl,tired work till tonight happy mothers day everyone httptinyurlcomqubl,1
Beautiful Day..takn it down twitters  tell ALL mothers Happy Mothers Day,beautiful daytakn twitters tell mothers happy mothers day,1
happy mother`s day,happy mothers day,1
"DH at work, DD7 at party. Seriously thinking of treating DS9 and myself to sushi lunch - after all, it IS Mother`s Day here!",dh work dd party seriously thinking treating ds sushi lunch mothers day,1
Wishing all the Mama`s out there a very Organic Happy Mother`s Day,wishing mamas organic happy mothers day,1
Happy Mother`s Day to all the Mommiessss,happy mothers day mommiessss,1
"Happy Mother`s Day to all the mums out there, old & new.",happy mothers day mums old new,1
I wanna say happy mother`s day to all the mom`s including mine love u mama,wan na say happy mothers day moms including mine love u mama,1
"Happy Star Wars Day, may the 4th be with you  my lil` 12yr old bro is at home playing with a lego AT-AT and dozens of stormtroopers.",happy star wars day may th lil yr old bro home playing lego atat dozens stormtroopers,1
Wishes  a Happy Mother`s Day!,wishes happy mothers day,1
Um... happy star wars day btw. Cheers to all you scruffy looking nerfherders and hot ami`s out there.,um happy star wars day btw cheers scruffy looking nerfherders hot amis,1
"Happy mothers day to those of u that are mothers, and happy mothers day to all of your mothers      I miss my mom....",happy mothers day u mothers happy mothers day mothers miss mom,1
Happy Mother`s Day Moms  Take a load of for at least a day!,happy mothers day moms take load least day,1
to my pretty lady  HAPPY MOTHER`S DAY!!! She`s the mother of my future son-in-laws,pretty lady happy mothers day shes mother future soninlaws,1
happy momies day!,happy momies day,1
  Wish you both a very Happy and Fabulous Mother`s Day!,wish happy fabulous mothers day,1
is wishing everyone a blessed & beautiful Mother`s Day!,wishing everyone blessed beautiful mothers day,1
 well then happy mothers day  ahahahahahaha,well happy mothers day ahahahahahaha,1
Happy Star Wars Day. MAY THE 4TH BE WITH YOU,happy star wars day may th,1
 HAPPY MOTHER`S DAY TO UR MOM JAH. TC.,happy mothers day ur mom jah tc,1
 Happy Mother`s Day to you,happy mothers day,1
Happy Mothers Day Mommy!!! I love you && your the best...,happy mothers day mommy love best,1
"Happy Mother`s Day to all the beautiful Moms out there.  (I`m kind of a Mom, i think my little pup counts!  )",happy mothers day beautiful moms im kind mom think little pup counts,1
Yay Happy Mother`s Day  #fb,yay happy mothers day fb,1
  Have fun! Wish your mums a happy mother`s day for us!,fun wish mums happy mothers day us,1
 lol cute.  BTW Happy Mother`s Day lady,lol cute btw happy mothers day lady,1
Happy mothrs day 2 ; all thaa moms outt thr  *,happy mothrs day thaa moms outt thr,1
Happy Mother`s Day to all Mums on Twitter,happy mothers day mums twitter,1
wants to wish all the moms out there (and moms-to-be) a very happy Mother`s Day!,wants wish moms momstobe happy mothers day,1
Happy Mommy`s Day to all the mothers in the world!,happy mommys day mothers world,1
be back later!  HAPPY MOTHER`S DAY TO ALL THE MOTHERS IN THE WORLD! ï¿½ GOD LOVES US ALL!,back later happy mothers day mothers world god loves us,1
Happy Mothers Day!  Love your Mom...,happy mothers day love mom,1
Happy Mom`s Day to everyone in the US,happy moms day everyone us,1
Happy Mother`s Day x3 ..Mum? I love you,happy mothers day x mum love,1
 Happy Mother`s Day! I hope you have an awesome day...and a good rest of the night,happy mothers day hope awesome dayand good rest night,1
happy mothers day to all you mums out there,happy mothers day mums,1
 Aww!  That`s so sweet!  So glad she`s home with you now. Happy mother`s day to you,aww thats sweet glad shes home happy mothers day,1
" Wooops! Meant I agree with Boomstone..trying 2 reply 2 both, LOL. Happy Mothers Day to you as well!  TTY soon!",wooops meant agree boomstonetrying reply lol happy mothers day well tty soon,1
Its offically mothers day!! happy moms day!!!,offically mothers day happy moms day,1
Outz wif the BIG BIG BIG HAPPY FAMILY for mommy`s day meal. And Happy Mommy Day to all Mommys out there!,outz wif big big big happy family mommys day meal happy mommy day mommys,1
Happy Mother`s Day ,happy mothers day,1
I am so happy. Keve is here for early Mother`s day. Let`s be quiet. He drove all night and is sleeping.,happy keve early mothers day lets quiet drove night sleeping,1
just woke up. Happy Mommy`s Day to everyone`s mom and grandma!,woke happy mommys day everyones mom grandma,1
 Happy STAR WARS Day,happy star wars day,1
Happy Mother`s Day to all the mothers out there! Goodnight to everyone else,happy mothers day mothers goodnight everyone else,1
" Ahh, your baby is so cute! Happy Mother`s Day!",ahh baby cute happy mothers day,1
Happy mother`s day to my sweet mum,happy mothers day sweet mum,1
Spending Mother`s Day with Mom.,spending mothers day mom,1
Happy Star Wars Day!!!,happy star wars day,1
It`s Mother`s Day! Went out to lunch to celebrate and then went shopping for a gift for my mom,mothers day went lunch celebrate went shopping gift mom,1
 Happy mother`s day to you as well!  Have a good one!,happy mothers day well good one,1
Wishing all the mommies a happy mother`s day,wishing mommies happy mothers day,1
Happy Mothers day to all you MI.. mothers out there.   Thanks for doing what you do .. whatever that is,happy mothers day mi mothers thanks whatever,1
happy mum`s day! i kinduhh have a major crush on alex johnson from the cab,happy mums day kinduhh major crush alex johnson cab,1
"_Company Hey Kathy, happy Mother`s Day!",company hey kathy happy mothers day,1
 `s mum asked us to thank you for introducing us to Kenny`s - we`re having Mother`s Day dinner here,mum asked us thank introducing us kennys mothers day dinner,1
Guess it was too much to hope for me to have a nice relaxing Mothers Day!... Happy Mothers Day mommies,guess much hope nice relaxing mothers day happy mothers day mommies,1
Happy Star Wars Day  - May the Fourth be with you,happy star wars day may fourth,1
"The mothers day classic went really well, despite the cold 5.30am start",mothers day classic went really well despite cold start,1
happy mom`s day,happy moms day,1
Happy Mother`s Day to all the Momma`s to be and Mommas currently.  Have a wonderful day!!!,happy mothers day mommas mommas currently wonderful day,1
Happy Mother`s Day to all the moms out there!,happy mothers day moms,1
HAPPY MOTHER`S DAY TO ALL MOTHERS!,happy mothers day mothers,1
happy mothers day... *i love you mom...*,happy mothers day love mom,1
"@ all mothers, Happy Mother`s Day, at all non-mothers, Happy Sunday, the 10th of May.",mothers happy mothers day nonmothers happy sunday th may,1
 And that`s what makes you an amAzing MOTHER  HAPPY MOTHERS DAY SOLO!! LUV YA!!,thats makes amazing mother happy mothers day solo luv ya,1
Happy Sunday. We have sunshine in Frankfurt. Hope all mothers enjoy this day,happy sunday sunshine frankfurt hope mothers enjoy day,1
"Headed out at 6 today, shopped for Mother`s Day gifts. I love B&BWs new scents ? AND finished my book I bought yesterday.",headed today shopped mothers day gifts love bbws new scents finished book bought yesterday,1
a trending topic: HAPPY STAR WARS DAY,trending topic happy star wars day,1
"Had the super massive sandwich mom made last night,Ohh. It was yummy.. Btw, Happy Mother`s Day mom!!",super massive sandwich mom made last nightohh yummy btw happy mothers day mom,1
Happy Star Wars Day to you all,happy star wars day,1
  Happy Mother`s day to your Mum,happy mothers day mum,1
May the 4th be with you. Happy Star Wars Day!   http://tinyurl.com/cjamjt #starwarsday #geek #dork #fb #awesome,may th happy star wars day httptinyurlcomcjamjt starwarsday geek dork fb awesome,1
Happy Mother`s day mang!!! thank you and i love you,happy mothers day mang thank love,1
Ready for Mother`s Day? http://tinyurl.com/dcgeyv,ready mothers day httptinyurlcomdcgeyv,1
 HEYHEYHEYY happy star wars day   watcha doin this friday? up for a movie?,heyheyheyy happy star wars day watcha doin friday movie,1
wishes all you moms a happy & blessed Mother`s Day!,wishes moms happy blessed mothers day,1
 Happy Mother`s Day to the only mother I have on my list!,happy mothers day mother list,1
wishes a Happy Mother`s Day to all mothers! Especially her own.  http://plurk.com/p/svg9d,wishes happy mothers day mothers especially httpplurkcompsvgd,1
Good morning. Just bought flowers for mothers day and now it`s breakfast time,good morning bought flowers mothers day breakfast time,1
Just saw Star Trek with the boo.. Now off to bed! Never again will I go to a Vallejo theater. hAppy mOthErs dAy to all!! I love my mommy,saw star trek boo bed never go vallejo theater happy mothers day love mommy,1
"_RICHARDS A man loves his sweetheart the most, his wife the best, but his mother the longest. Happy Mother`s Day",richards man loves sweetheart wife best mother longest happy mothers day,1
home bound for mothers day,home bound mothers day,1
  I miss all you OK girls.    Happy Mother`s Day to all y`all.,miss ok girls happy mothers day yall,1
12:06am and my 'him' is officially the 1st one to say Happy Mother`s Day to me   I love it!!!,officially st one say happy mothers day love,1
"too much good food on this Mother`s Day. not that i`m complaining! Seafood, durian puffs and macarons! yum!",much good food mothers day im complaining seafood durian puffs macarons yum,1
Had a lovely Mothers Day,lovely mothers day,1
happy mothers day!  <3,happy mothers day,1
" I have the best bestfriend in the whole world .. My Mother`s Day present = ambien, klonopin and a quarter! woohoo!  smh...",best bestfriend whole world mothers day present ambien klonopin quarter woohoo smh,1
"What have you done for Mother`s Day?'*people who are a day behind us*'what will you be doing?' I took my Mom to Starbucks, she enjoyed it",done mothers daypeople day behind uswhat took mom starbucks enjoyed,1
"had the best mother`s day! breakfast, shopping and lunch, drinks, chocolate galore!",best mothers day breakfast shopping lunch drinks chocolate galore,1
Happy Mother`s Day to all the Mothers! Especially mine!  Enjoy ya day mothers!,happy mothers day mothers especially mine enjoy ya day mothers,1
i just wanna say happy mother`s day to all the mommy`s out there,wan na say happy mothers day mommys,1
Happy Mother`s Day to all my twitter moms (including myself),happy mothers day twitter moms including,1
Happy Star Wars Day? OHHHH...now I get it. May the 4th be with you.  love it. (and mondays). (sorry again) #starwarsday,happy star wars day ohhhhnow get may th love mondays sorry starwarsday,1
" thanks for the follow, your family photo is beautiful  happy mother`s day to your wife!",thanks follow family photo beautiful happy mothers day wife,1
Bed. Church in the morning. Happy mothers day,bed church morning happy mothers day,1
"writing out mother`s day cards to mom, aunts, and AMYYYY can`t wait for her to be a mommy",writing mothers day cards mom aunts amyyyy cant wait mommy,1
HAPPY MOTHERS DAY TO ALL THE MOMS OUT THERE !!!,happy mothers day moms,1
 Happy Mothers Day!,happy mothers day,1
" ok, so I`m replying!  happy mothers day, indeed!",ok im replying happy mothers day indeed,1
Happy Mothers Day Everybody!!!!!!,happy mothers day everybody,1
Oh Mother - Christina Aguilera. Happy Mothers` Day to all the mamas!  ilovemymommy! <3,oh mother christina aguilera happy mothers day mamas ilovemymommy,1
"Happy Mother`s day to allMothers, Cheers!!",happy mothers day allmothers cheers,1
happpppy mothers day,happpppy mothers day,1
Happy Mother`s day to all beautiful mother. May your love shines the world  Thank you mum.....,happy mothers day beautiful mother may love shines world thank mum,1
GM Tweeters! Happy Mother`s Day to the mothers and pretend mothers out there!,gm tweeters happy mothers day mothers pretend mothers,1
WH Correspondant`s Dinner Rocked! Wanda Sykes was hilarious and Obama wasn`t too bad  Happy Mother`s Day to all the mom`s out there......,wh correspondants dinner rocked wanda sykes hilarious obama wasnt bad happy mothers day moms,1
 thanks love ) btw happy mother`s day to your mom,thanks love btw happy mothers day mom,1
MAY THE 4TH BE WITH YOU. Happy Star Wars Day,may th happy star wars day,1
Wishing  a Happy Mothers Day,wishing happy mothers day,1
home in carlsbad with the whole family for mother`s day!,home carlsbad whole family mothers day,1
happy mother`s day to all mothers out there!!,happy mothers day mothers,1
Happy Mums Day This is Nelly`s shout out   http://skitch.com/t/tac,happy mums day nellys shout httpskitchcomttac,1
Happy Mother`s day !!!! Show some love to your Beautiful and Amazing Mom!!  <3,happy mothers day show love beautiful amazing mom,1
"_dizon it`s a little late but congratulations, leah  happy mothers day!",dizon little late congratulations leah happy mothers day,1
New comic posted. Introducing  'Joe! - The Mini Strip'  http://tinyurl.com/oasxx2 (via ) cute Mother`s day strip!,new comic posted introducing joe mini strip httptinyurlcomoasxx via cute mothers day strip,1
"mothers day, happy mothers day mom",mothers day happy mothers day mom,1
aww happy mother`s day,aww happy mothers day,1
HAPPY MOTHER`S DAY TO ALL OUR MOMS!,happy mothers day moms,1
I have coffee and a Sociology paper to complete. Happy Mothers Day,coffee sociology paper complete happy mothers day,1
" Happy mother`s day! Hope you have a great one with Harlow, your mom and those you love  You`re such an awesome mommy! ^^",happy mothers day hope great one harlow mom love youre awesome mommy,1
Happy Mother`s Day to Us  FOR NOT BEIN MAMMAS YET and being lucky enough to live our lives a little 1st,happy mothers day us bein mammas yet lucky enough live lives little st,1
HAPPY MOTHER`S DAY!!!!!,happy mothers day,1
_O_ASH I do too plus more happy mothers day Sweety,oash plus happy mothers day sweety,1
Happy mother`s day !!!!,happy mothers day,1
mothers day at the spit was awesome!!!!!!!  listening to Paranoid by The Jonas Brothers!!!!!!!!!,mothers day spit awesome listening paranoid jonas brothers,1
"says good morning everyone! Once again, a happy mother`s day to all the mothers out there!  I hope you all h... http://plurk.com/p/stq3f",says good morning everyone happy mothers day mothers hope h httpplurkcompstqf,1
Happy Star Wars day everyone,happy star wars day everyone,1
in Newcastle enjoying the family  With mum on mother`s day for the 1st time in years!,newcastle enjoying family mum mothers day st time years,1
"I am so grateful I am your daughter!  Happy Mother`s Day, Okasan.  Thank you for everything... always!",grateful daughter happy mothers day okasan thank everything always,1
